status,temperature,latitude,longitude,is_weekend,hour
1.4210621,23,39.919614,116.451179,0,16.71802
1.0045868,23,39.919614,116.451179,1,1.80094
1.1006744,23,39.919614,116.451179,0,19.87208
0.9985306,23,39.919614,116.451179,0,1.28641
1.1069334,23,39.919614,116.451179,0,8.29075
1.0096464,23,39.919614,116.451179,1,-0.81192
1.2976773,23,39.919614,116.451179,1,12.24872
1.0038208,23,39.919614,116.451179,1,1.68084
1.1322607,23,39.919614,116.451179,1,7.62365
1.1716605,23,39.919614,116.451179,0,9.61542
1.0031773,23,39.919614,116.451179,0,22.2155
1.6235114,23,39.919614,116.451179,0,17.41516
1.0578368,23,39.919614,116.451179,0,7.13036
0.9995463,23,39.919614,116.451179,0,2.47577
1.006421,23,39.919614,116.451179,1,0.58711
0.9982034,23,39.919614,116.451179,0,0.61139
1.188103,23,39.919614,116.451179,1,8.86934
1.1528219,23,39.919614,116.451179,0,12.17694
1.1574321,23,39.919614,116.451179,0,13.01926
0.99864125,23,39.919614,116.451179,0,1.51467
1.4663584,23,39.919614,116.451179,1,16.34433
1.1128483,23,39.919614,116.451179,1,7.23285
1.166638,23,39.919614,116.451179,0,10.91451
1.155584,23,39.919614,116.451179,0,9.30901
1.1697661,23,39.919614,116.451179,0,10.48035
1.1156217,23,39.919614,116.451179,0,8.4898
1.0381192,23,39.919614,116.451179,1,22.61719
1.0700947,23,39.919614,116.451179,0,7.41725
1.1711016,23,39.919614,116.451179,0,14.06335
1.343392,23,39.919614,116.451179,0,18.70737
1.4685869,23,39.919614,116.451179,1,16.94641
1.02476,23,39.919614,116.451179,0,6.19985
1.2204686,23,39.919614,116.451179,0,15.68729
1.1128184,23,39.919614,116.451179,0,19.70697
1.0035588,23,39.919614,116.451179,0,4.53179
1.4197726,23,39.919614,116.451179,1,14.49276
1.0267391,23,39.919614,116.451179,0,21.49535
1.1653551,23,39.919614,116.451179,0,9.49624
1.2998976,23,39.919614,116.451179,0,16.23796
1.0049793,23,39.919614,116.451179,0,4.71969
1.1757718,23,39.919614,116.451179,0,9.94032
1.3251473,23,39.919614,116.451179,0,16.35515
1.153915,23,39.919614,116.451179,0,12.35724
1.006772,23,39.919614,116.451179,0,22.09848
1.0032508,23,39.919614,116.451179,0,4.47901
0.99829984,23,39.919614,116.451179,0,0.13247
1.6238028,23,39.919614,116.451179,0,17.34659
1.0213269,23,39.919614,116.451179,0,5.98246
1.163598,23,39.919614,116.451179,0,11.27147
1.1594381,23,39.919614,116.451179,0,13.29606
1.1653852,23,39.919614,116.451179,0,9.49681
1.0006797,23,39.919614,116.451179,0,3.79582
1.3299806,23,39.919614,116.451179,1,18.72441
1.2082984,23,39.919614,116.451179,0,15.56079
1.4647909,23,39.919614,116.451179,1,17.7754
1.0045376,23,39.919614,116.451179,0,4.66298
1.1728082,23,39.919614,116.451179,0,10.16112
1.000178,23,39.919614,116.451179,0,3.15208
1.0018541,23,39.919614,116.451179,0,4.23958
0.98980165,23,39.919614,116.451179,0,22.90647
1.0238312,23,39.919614,116.451179,0,6.15106
1.2309201,23,39.919614,116.451179,0,15.79639
1.1120907,23,39.919614,116.451179,0,19.71687
